#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 4
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	9.2181
firstFrontCount	21
frontCount	6
avgEvalTime	0.0909875
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	Obj4	
0.0962914	0.259818	0.78675	0.100937	0.61757	0.0977651	0.163768	0.71111	0.681894	0.489106	0.324177	0.0404294	0.333799	-0.382098	0.12689	-0.687037	4	
0.265313	0.0393754	0.846183	0.241417	0.689867	0.869342	0.89912	0.754936	0.296782	0.534856	0.572446	0.474288	0.643208	-0.644054	0.396444	-0.765556	8	
0.113347	0.889016	0.101253	0.649258	0.47451	0.173131	0.177449	0.344249	0.942149	0.958646	0.780476	0.0375407	0.966312	-0.574051	0.326429	-0.769259	6	
0.74755	0.748987	0.387977	0.161657	0.627888	0.96332	0.66764	0.430719	0.221723	0.044198	0.545523	0.243021	0.507463	-0.378752	0.194882	-0.745926	7	
0.854721	0.51975	0.215664	0.770936	0.124115	0.0847607	0.987897	0.216846	0.0625493	0.855638	0.579597	0.440132	0.778227	-0.475817	0.292536	-0.758889	7	
0.497532	0.457719	0.0400341	0.00727421	0.457454	0.472822	0.461601	0.656984	0.596102	0.536994	0.385515	0.19944	0.209113	-0.309739	0.0714048	-0.720741	3	
0.458013	0.70865	0.253485	0.243949	0.415605	0.50017	0.610413	0.684949	0.100168	0.68132	0.362507	0.0103849	0.926299	-0.446426	0.164141	-0.76037	6	
0.599049	0.32241	0.770815	0.551422	0.791312	0.0140572	0.611404	0.0822567	0.642273	0.397472	0.498264	0.878778	0.0115658	-0.484649	0.2519	-0.74963	7	
0.683283	0.89978	0.954933	0.0157478	0.574048	0.847421	0.815142	0.699449	0.550305	0.101708	0.202755	0.080555	0.262131	-0.476689	0.281884	-0.722593	8	
0.913811	0.408201	0.920672	0.158779	0.893985	0.0388784	0.105324	0.591626	0.826637	0.680193	0.267837	0.964092	0.328347	-0.630712	0.356252	-0.79	7	
0.133309	0.424259	0.841029	0.196809	0.206307	0.587344	0.368451	0.631557	0.456023	0.778586	0.0357888	0.842826	0.440162	-0.479776	0.125096	-0.791852	5	
0.13599	0.229909	0.763632	0.600781	0.42835	0.983882	0.781532	0.174441	0.420789	0.948289	0.610017	0.122441	0.0375069	-0.382763	0.197589	-0.717778	6	
0.0601034	0.972681	0.0323706	0.190232	0.722189	0.643902	0.669656	0.108488	0.120709	0.326075	0.130224	0.384493	0.489586	-0.1053	0.0299118	-0.588519	4	
0.752742	0.00094123	0.639515	0.492439	0.38927	0.122781	0.581916	0.482294	0.353651	0.73534	0.111803	0.681089	0.551864	-0.601305	0.192504	-0.798148	6	
0.0755586	0.39655	0.276637	0.9354	0.786221	0.14863	0.8742	0.12859	0.736645	0.5473	0.81176	0.407206	0.927867	-0.547844	0.323139	-0.744815	7	
0.385601	0.614151	0.0286639	0.338034	0.568998	0.132692	0.91416	0.0694545	0.326913	0.374324	0.557243	0.453591	0.318114	-0.19598	0.0407799	-0.703704	4	
0.8134	0.202327	0.236247	0.535378	0.497617	0.696805	0.212428	0.80916	0.968781	0.599275	0.950702	0.267471	0.404848	-0.422352	0.328461	-0.715556	7	
0.0234883	0.553273	0.498548	0.379445	0.416114	0.405935	0.809358	0.0310761	0.734696	0.749044	0.0109404	0.479802	0.756564	-0.490388	0.177772	-0.763704	5	
0.853376	0.0047546	0.0951357	0.356096	0.243306	0.443265	0.866955	0.531453	0.523351	0.0481212	0.723647	0.422319	0.774668	-0.505163	0.239044	-0.748889	6	
0.578104	0.174117	0.027332	0.417076	0.74908	0.761298	0.612095	0.914949	0.674157	0.76731	0.502672	0.652736	0.0312187	-0.588909	0.467931	-0.756296	9	
0.577098	0.101734	0.877481	0.840211	0.450779	0.864016	0.919403	0.430067	0.581006	0.728425	0.532988	0.664794	0.0286665	-0.65833	0.459374	-0.763704	9	
0.0230452	0.735776	0.707428	0.664183	0.454236	0.170188	0.219483	0.677528	0.810354	0.724088	0.11226	0.710306	0.615802	-0.862691	0.49193	-0.812963	8	
0.767925	0.584071	0.86604	0.165862	0.147143	0.549181	0.861291	0.374991	0.679808	0.345195	0.23919	0.480342	0.628672	-0.552262	0.258758	-0.757037	7	
0.912657	0.44173	0.270873	0.335234	0.880307	0.410106	0.370862	0.50209	0.0655527	0.296277	0.035142	0.968484	0.733074	-0.424636	0.157916	-0.793333	5	
0.0212941	0.66268	0.456154	0.994796	0.992271	0.570408	0.0495278	0.232739	0.652193	0.820436	0.926084	0.633144	0.532822	-0.733592	0.473184	-0.800741	9	
0.326249	0.898212	0.902688	0.357783	0.849545	0.451856	0.562489	0.345062	0.62519	0.7515	0.95037	0.12392	0.117779	-0.577857	0.324145	-0.751852	7	
0.563475	0.480377	0.657247	0.644255	0.209889	0.8945	0.933496	0.853765	0.18127	0.831565	0.742918	0.0398659	0.0631642	-0.472282	0.367765	-0.712222	8	
0.268669	0.886065	0.482935	0.327556	0.728198	0.41692	0.588149	0.183656	0.224274	0.427559	0.955301	0.314366	0.765873	-0.371781	0.13503	-0.733704	5	
0.0191206	0.0483506	0.918905	0.803334	0.872338	0.370077	0.445108	0.427907	0.666114	0.0751531	0.98349	0.575097	0.513301	-0.722629	0.318717	-0.803333	7	
0.588581	0.524625	0.0542646	0.273471	0.72814	0.0481662	0.100863	0.338907	0.29322	0.607246	0.657674	0.894764	0.561046	-0.598416	0.346763	-0.79	7	
0.889661	0.403804	0.056541	0.866847	0.212188	0.412841	0.87549	0.339822	0.500397	0.496904	0.625839	0.0666782	0.195577	-0.261327	0.0900152	-0.662593	5	
0.75551	0.775014	0.610929	0.343021	0.659098	0.28557	0.725971	0.876908	0.127731	0.592054	0.566913	0.916186	0.0693331	-0.682277	0.476047	-0.779259	9	
0.94513	0.365371	0.808904	0.72345	0.932869	0.514718	0.221636	0.288783	0.902896	0.794788	0.677265	0.748626	0.297566	-0.653806	0.467814	-0.776296	9	
0.767949	0.566348	0.231932	0.937474	0.499229	0.0979425	0.755484	0.714907	0.250331	0.117089	0.44831	0.151549	0.412344	-0.191877	0.0831835	-0.697037	5	
